X[s],"Trigno IM sensor 13: EMG 13 (IM)",X[s],"Trigno IM sensor 13: ACC X 13 (IM)",X[s],"Trigno IM sensor 13: ACC Y 13 (IM)",X[s],"Trigno IM sensor 13: ACC Z 13 (IM)",X[s],"Trigno IM sensor 13: Gyro X 13 (IM)",X[s],"Trigno IM sensor 13: Gyro Y 13 (IM)",X[s],"Trigno IM sensor 13: Gyro Z 13 (IM)",X[s],"Trigno IM sensor 13: Mag X 13 (IM)",X[s],"Trigno IM sensor 13: Mag Y 13 (IM)",X[s],"Trigno IM sensor 13: Mag Z 13 (IM)"
0.0765,-2.853437E-06,0.57375,0.979248,0.57375,0.279541,0.57375,-0.1391602,0.57375,2.381679,0.57375,1.656489,0.57375,-3.412214,1.1475,-37.7,1.1475,-73.5,1.1475,-20.3
0.0774,-1.863126E-05,0.5805,0.9787598,0.5805,0.2802734,0.5805,-0.1462402,0.5805,2.793893,0.5805,1.549618,0.5805,-3.40458,1.161,-38.1,1.161,-72.8,1.161,-18.3
0.0783,-3.474479E-05,0.58725,0.9814453,0.58725,0.2910156,0.58725,-0.1262207,0.58725,2.503817,0.58725,1.816794,0.58725,-3.549618,1.1745,-38,1.1745,-73.2,1.1745,-19.6
0.0792,-4.448005E-05,0.594,0.9785156,0.594,0.3005371,0.594,-0.1447754,0.594,2.152672,0.594,1.854962,0.594,-3.312977,1.188,-37.9,1.188,-73.5,1.188,-19.7
0.0801,-4.313725E-05,0.60075,0.9794922,0.60075,0.2990723,0.60075,-0.144043,0.60075,1.770992,0.60075,1.816794,0.60075,-3.10687,1.2015,-38,1.2015,-73.5,1.2015,-20.6
0.081,-5.253682E-05,0.6075,0.9760742,0.6075,0.296875,0.6075,-0.138916,0.6075,1.526718,0.6075,1.992366,0.6075,-2.664122,1.215,-38.1,1.215,-73.4,1.215,-19.3
0.0819,-6.092927E-05,0.61425,0.9733887,0.61425,0.2922363,0.61425,-0.1328125,0.61425,1.19084,0.61425,1.900763,0.61425,-2.366412,1.2285,-37.8,1.2285,-73.4,1.2285,-19.1
0.0828,-6.059357E-05,0.621,0.9780273,0.621,0.295166,0.621,-0.1352539,0.621,1.183206,0.621,1.694656,0.621,-2.259542,1.242,-37.3,1.242,-73.5,1.242,-19.4
0.0837,-6.243992E-05,0.62775,0.9753418,0.62775,0.2958984,0.62775,-0.1308594,0.62775,1.038168,0.62775,1.687023,0.62775,-2.061069,1.2555,-38.1,1.2555,-73.3,1.2555,-20.7
0.0846,-6.428627E-05,0.6345,0.9746094,0.6345,0.293457,0.6345,-0.1220703,0.6345,1.251908,0.6345,1.740458,0.6345,-1.832061,1.269,-38,1.269,-73.7,1.269,-19.9
0.0855,-6.092927E-05,0.64125,0.9746094,0.64125,0.302002,0.64125,-0.1274414,0.64125,1.099237,0.64125,1.557252,0.64125,-1.938931,1.2825,-38.4,1.2825,-73.9,1.2825,-20.4
0.0864,-6.227207E-05,0.648,0.980957,0.648,0.2966309,0.648,-0.1318359,0.648,0.9770992,0.648,1.458015,0.648,-1.641221,1.296,-38.1,1.296,-73.9,1.296,-20.5
0.0873,-6.61326E-05,0.65475,0.9770508,0.65475,0.2922363,0.65475,-0.1328125,0.65475,0.9236641,0.65475,1.229008,0.65475,-1.549618,1.3095,-38,1.3095,-74.1,1.3095,-19.9
0.0882,-6.529336E-05,0.6615,0.982666,0.6615,0.2897949,0.6615,-0.1257324,0.6615,0.7175573,0.6615,1.015267,0.6615,-2.030534,1.323,-38.2,1.323,-72.9,1.323,-20.4
0.0891,-6.143282E-05,0.66825,0.9799805,0.66825,0.2844238,0.66825,-0.1311035,0.66825,0.8244275,0.66825,1.137405,0.66825,-2.10687,1.3365,-38.7,1.3365,-73.7,1.3365,-19.3
0.09,-6.344702E-05,0.675,0.9829102,0.675,0.2817383,0.675,-0.1418457,0.675,0.9694657,0.675,1.29771,0.675,-2.267176,1.35,-38.4,1.35,-73.7,1.35,-20.4
0.0909,-6.6804E-05,0.68175,0.9855957,0.68175,0.2780762,0.68175,-0.1425781,0.68175,1.320611,0.68175,1.320611,0.68175,-3.068702,1.3635,-38.1,1.3635,-73.4,1.3635,-19.8
