X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)"
0.09630001,0.0004171054,0.72225,-1.782959,0.72225,0.09326172,0.72225,1.109863,0.72225,250.1298,0.72225,-24.89313,0.72225,250.1298,1.4445,-92.8,1.4445,-100,1.4445,17
0.0972,0.0005268788,0.729,-1.505859,0.729,0.6582031,0.729,1.069336,0.729,250.1298,0.729,-40.50382,0.729,250.1298,1.458,-92.5,1.458,-98.9,1.458,17.2
0.0981,0.0006755932,0.73575,-1.556152,0.73575,1.155518,0.73575,0.9907227,0.73575,204.0153,0.73575,-48.54198,0.73575,250.1298,1.4715,-92.7,1.4715,-98.7,1.4715,17.5
0.099,0.0007679103,0.7425,-1.461182,0.7425,1.29541,0.7425,0.8349609,0.7425,97.17558,0.7425,-57.1832,0.7425,216.5954,1.485,-92.8,1.485,-96.9,1.485,17.7
0.0999,0.0008065156,0.74925,-0.7233887,0.74925,1.390137,0.74925,0.7919922,0.74925,-46.58015,0.74925,-0.3282443,0.74925,211.1527,1.4985,-93.4,1.4985,-96.8,1.4985,18
0.1008,0.000828336,0.756,0.2663574,0.756,-0.6074219,0.756,0.6787109,0.756,-108.3588,0.756,76.38931,0.756,50.47328,1.512,-93.9,1.512,-95.6,1.512,16.4
0.1017,0.0008437782,0.76275,-0.2333984,0.76275,-1.599854,0.76275,0.6960449,0.76275,98.67175,0.76275,67.13741,0.76275,-37.68702,1.5255,-94.5,1.5255,-94.4,1.5255,17.1
0.1026,0.0008793622,0.7695,-1.251221,0.7695,0.5957031,0.7695,0.4416504,0.7695,126.8397,0.7695,97.56489,0.7695,104.4198,1.539,-95.3,1.539,-93.2,1.539,17.7
0.1035,0.0009391165,0.77625,-1.532227,0.77625,1.51123,0.77625,0.3425293,0.77625,-107.7023,0.77625,45.45802,0.77625,87.12214,1.5525,-95.8,1.5525,-92.2,1.5525,17.3
0.1044,0.001024216,0.783,-0.645752,0.783,-0.295166,0.783,0.3127441,0.783,-179.8702,0.783,15.40458,0.783,-11.92366,1.566,-96.8,1.566,-90.7,1.566,17
